ArrDelay
36.0
-4.0
-10.0
14.0
7.0
-20.0
40.0
12.0
-6.0
-13.0
-18.0
-4.0
2.0
-12.0
-18.0
13.0
-1.0
26.0
9.0
71.0
62.0
95.0
-7.0
50.0
5.0
-26.0
-15.0
-5.0
-7.0
-7.0
-1.0
15.0
0.0
-4.0
-15.0
10.0
-5.0
0.0
-18.0
5.0
-18.0
-9.0
-17.0
-4.0
-9.0
-12.0
0.0
5.0
0.0
165.0
16.0
8.0
10.0
55.0
12.0
21.0
-21.0
-2.0
-9.0
-1.0
89.0
2.0
10.0
-13.0
6.0
1.0
-5.0
12.0
-11.0
4.0
0.0
-10.0
5.0
10.0
81.0
7.0
-3.0
-1.0
15.0
5.0
25.0
-13.0
-3.0
55.0
4.0
4.0
1.0
-16.0
9.0
39.0
2.0
-14.0
101.0
-10.0
-23.0
0.0
-4.0
27.0
25.0
2.0
-10.0
-6.0
-21.0
-6.0
2.0
6.0
-9.0
-14.0
-1.0
-8.0
-12.0
0.0
1.0
22.0
-9.0
117.0
5.0
6.0
8.0
13.0
-12.0
10.0
-4.0
-14.0
-1.0
-1.0
-5.0
0.0
26.0
3.0
14.0
-12.0
17.0
-6.0
-15.0
0.0
8.0
-35.0
-8.0
32.0
2.0
23.0
0.0
-9.0
-15.0
143.0
-13.0
-3.0
-9.0
58.0
-6.0
4.0
0.0
5.0
13.0
-11.0
-3.0
15.0
-8.0
30.0
-8.0
1.0
-12.0
39.0
-17.0
2.0
-5.0
-4.0
-7.0
14.0
9.0
6.0
2.0
-5.0
-3.0
4.0
148.0
9.0
75.0
0.0
0.0
-4.0
-6.0
6.0
384.0
-7.0
90.0
1.0
-7.0
4.0
8.0
-3.0
-11.0
16.0
40.0
2.0
28.0
-5.0
25.0
-6.0
-10.0
24.0
0.0
-18.0
5.0
3.0
-4.0
-8.0
-13.0
0.0
-13.0
5.0
15.0
36.0
6.0
-13.0
40.0
-3.0
-13.0
22.0
-27.0
15.0
49.0
-8.0
17.0
12.0
-3.0
6.0
25.0
8.0
-3.0
4.0
0.0
-12.0
7.0
18.0
-1.0
-16.0
5.0
-20.0
12.0
-14.0
3.0
16.0
10.0
34.0
-8.0
31.0
-2.0
59.0
0.0
6.0
-10.0
-6.0
-7.0
-3.0
-2.0
5.0
-5.0
2.0
-1.0
-11.0
42.0
34.0
-6.0
-16.0
-20.0
-7.0
-6.0
19.0
-9.0
-7.0
40.0
-8.0
6.0
-1.0
52.0
-14.0
-3.0
-7.0
78.0
2.0
11.0
6.0
19.0
6.0
48.0
7.0
70.0
-7.0
8.0
-9.0
-2.0
-26.0
-5.0
-6.0
6.0
-1.0
29.0
-18.0
-6.0
5.0
-1.0
1.0
-2.0
-22.0
7.0
-5.0
115.0
22.0
-14.0
14.0
0.0
2.0
-3.0
-5.0
8.0
-1.0
-14.0
-4.0
-9.0
24.0
-10.0
-22.0
-6.0
2.0
-21.0
41.0
-16.0
141.0
11.0
-1.0
-9.0
-18.0
3.0
-5.0
-1.0
1.0
43.0
-11.0
12.0
17.0
-3.0
6.0
-6.0
30.0
0.0
-6.0
-7.0
11.0
-15.0
45.0
-2.0
17.0
-7.0
2.0
16.0
12.0
-9.0
7.0
-8.0
7.0
9.0
3.0
-3.0
4.0
4.0
-18.0
1.0
-7.0
54.0
-10.0
0.0
-10.0
-15.0
-5.0
-3.0
6.0
-14.0
4.0
-8.0
-5.0
-3.0
-10.0
26.0
-3.0
-7.0
-35.0
11.0
-2.0
-11.0
9.0
2.0
8.0
-6.0
-10.0
-3.0
3.0
3.0
-11.0
-18.0
-1.0
60.0
0.0
0.0
-8.0
14.0
-7.0
298.0
98.0
-1.0
-4.0
-11.0
26.0
-5.0
1.0
-5.0
-8.0
13.0
3.0
51.0
12.0
-11.0
-10.0
-3.0
-3.0
